job_id,booth_no,company,industry,recruit_type,job_title,job_family,headcount,work_area,employment_type,work_day,work_hour,work_schedule,pay_text,pay_monthly_min,required_license,preferred_license,required_exp_years,experience_note,physical_load,education,gender_note,age_note,job_description,qualification_note,preference_note,work_condition,homepage,etc_note,status
37-1,D30,한국폴리텍대학 서울정수캠퍼스,조리·돌봄·시설관리,채용정보제공,"가정용 에어컨 설치·유지보수 기술인력양성과정, 중장년특화과정, 여성재취업과정 등",조리·돌봄·시설관리,20,서울시 및 근교,특수고용직,주6일,8시간 이상,주6일 / 8시간 이상,추후 협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,,용산구민 미취업자,만 35~55세 우대,기타,www.kopo.ac.kr/jungsu/index.do,,모집중
38-1,C02,광성강관공업㈜,운송·물류·제조,인력채용,금속가공,운송·물류·제조,2,"경기도 화성시 수노을2로 11, 스타타워 804호",정규직,주5일,8시간 이상,주5일 / 8시간 이상,월 400만원(면접시 협의 가능),4000000,,,10,경력 10년 이상,,학력무관,성별제한 없음,연령제한 없음,"정밀가공분야, 스웨징, 프레스, 포밍","컴퓨터응용선반기능사, 컴퓨터응용밀링기능사, 
정밀측정기능사, 프레스금형기능사
금속재료 관련 자격 + 기계가공 계열 등",상기 자격증 보유자 및 10년 이상 경력자,4대보험 가입,www.kspipe.com,,모집중
39-1,C07,(주)사람인 원더풀시니어,운송·물류·제조,채용정보제공,생산/제조/단순노무/영업/고객관리/시설/환경/정비/운송 등,운송·물류·제조,0,전국,정규직,주6일,8시간 이상,주6일 / 8시간 이상,고용 형태별 차등 지급,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"고용 형태별 평균 보수 기준
- 파트타임: 시급 1.1만 원 내외
- 계약직: 연봉 2,300만 원 내외
- 정규직: 연봉 2,700만 원 내외","성실히 근무 가능한자
해당 업무에 결격사유가 없는자","인근거주자
해당직무 근무경험자",4대보험 가입,www.saramin.co.kr/,,모집중
40-1,C06,보성운수㈜,운송·물류·제조,인력채용,시내버스 운전 3명/ 산업안전 또는 교통안전 관리자 1명,운송·물류·제조,4,"본사, 관악구 신림동, 구로구 온수동 중 가능지역",정규직,주5일,8시간 이상,주5일 / 8시간 이상,월 4백만원 이상/ 3백오십만원,,,,1,경력 1년 이상,,학력무관,성별제한 없음,70세 미만 지원가능,,"운전면허 1종 대형 소지자로 마을버스 또는 시내버스 운전 경력 1년 이상
산업안전기사 또는 교통안전 관리자 자격증","운전기사: 무사고 경력자
안전관리자: 안전사고 관련 경력자",4대보험 가입,,,모집중
41-1,D19,㈜케이디텍,조리·돌봄·시설관리,인력채용,"시설,미화,경비,배식 외",조리·돌봄·시설관리,10,"서울시 관내 초,중,고 학교 및 공공기관",계약직,주5일,4-7시간,주5일 / 4-7시간,시급 10320원 이상,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,,자격요건 없음,"복지카드 소지자(장애인 등록증), 당직(경비이수증), 배식(보건증)
시설(시설관련 자격증) 소지자 우대",4대보험 가입,kd-t.com/,,모집중
42-1,B12,해피올 민원센터,교육·서비스·영업,인력채용,TM,교육·서비스·영업,10,"서울특별시 서초구 서초대로 38길 41-1, 2층",파트타임,주5일,4-7시간,주5일 / 4-7시간,월 108만원/ 1일 4시간,1080000,,,,경력무관,,고등학교 이상,성별제한 없음,65세 미만 지원가능,,없음,없음,4대보험 가입,www.sohappy.co.kr/,,모집중
43-1,D16,실버웍스 (silverworks),조리·돌봄·시설관리,인력채용,"서빙, 설거지, 단순 사무,청소,물품 진열",조리·돌봄·시설관리,20,구인자의 가게에서 진행,파트타임,주2일,1-3시간,주2일 / 1-3시간,구인자와 협의,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주2일 근무(구인처와 협의)
1~3시간 근무(구인처와 협의)","단순 업무를 수행하시는데 신체적, 정신적으로 문제가 없으신분","보건증 소유자, 즉시 근로가능",기타,silverworks.kr,,모집중
44-1,C12,㈜천일에너지,운송·물류·제조,채용정보제공,폐기물 선별,운송·물류·제조,0,,계약직,주6일,8시간 이상,주6일 / 8시간 이상,"월 2,699,167 원",2699167,,,,경력무관,,학력무관,남성 우대,65세 미만 지원가능,,,즉시 출근 가능자,4대보험 가입,chunilenergy.com,,모집중
45-1,,㈜동하,사무·행정·운영지원,채용정보제공,"마켓팅, 보조연구원",사무·행정·운영지원,0,포천시/인천시,정규직,주5일,8시간 이상,주5일 / 8시간 이상,"월 2,500,000원",2500000,,,,경력무관,,대학·대학교 이상,성별제한 없음,연령제한 없음,,운전면허 소지자,마켓팅 관련 업무 경력,4대보험 가입,ecodongha.com,,모집중
46-1,D11,도담도담 산후도우미,조리·돌봄·시설관리,인력채용,산모/신생아 건강관리사,조리·돌봄·시설관리,0,"서울시 전지역(거주지역 지사에서 채용), 경기도, 지방",정규직,주5일,8시간 이상,주5일 / 8시간 이상,"일급 109,800원/ 125,000",,,요양보호사;사회복지사,,경력무관,,학력무관,여성만 지원가능,연령제한 없음,,"산모, 신생아 건강관리사 교육이수자(교육연계가능)","요양보호사, 사회복지사 자격증 소지시 교육우대(경력자 반으로 교육이수가능)",4대보험 가입,www.dodam1004.com,,모집중
